record_no,source_row,video_id,task,question_id,question,nif,timestamp
46,47,640ad606-0376-48cb-bc6a-14bc34ec4eaa,,,,3,10;21;35
47,48,36424b90-8a32-44b3-8db1-ad8bc3b222d0,,,,4,17;40;76;104
48,49,fcf8719c-b32d-463f-aa4c-6ac4149bb1c0,,,,2,67;166
49,50,6c901d03-3413-41a8-9aa0-8f9f6ed6b6f1,,,,3,2;6;97
50,51,5d15c716-f179-462c-84a6-fa94e9d14e94,,,,1,86
51,53,0a8109fe-15b9-4f5c-b5f2-993013cb216b,,,,1,138
52,54,46853bef-9052-428d-8e61-df684147f4af,,,,2,38;131
53,55,b4cc9985-97e8-423a-9737-22e5d9b4dbce,,,,4,4;13;28;118
54,56,0a8b2c9d-b54c-4811-acf3-5977895d2445,,,,1,32
55,57,e9322513-15b2-4b89-8ddb-7d1432beb8a1,,,,4,20;25;28;32
56,58,b1a1280a-1f7f-4796-bca2-ba03f3fb9345,,,,3,0;24;73
57,59,05f1fc03-0c9e-4fd4-9d85-bb7be4e69234,,,,2,13;34
58,60,9de66400-05ec-4173-93c9-16c2cc9d881d,,,,3,27;56;153
59,61,55ea09ed-4590-4e59-8753-40a64d67abd9,,,,1,166
60,62,6472e377-b65c-461a-a750-9b28a673dc86,,,,3,19;40;139
61,63,901ae1fe-5be2-495b-9506-9ec2a28d8ae0,,,,2,69;138
62,64,cd384dae-4229-4fa5-9fed-e4b5a1432f29,,,,3,7;67;169
63,65,71d00225-7ea5-46a0-8015-9b5a667f619a,,,,4,3;49;120;143
64,66,425f2fb4-a2a7-4925-94b5-25f6b0b85f78,,,,3,17;33;53
65,67,340a76ff-7144-4b31-906f-8a43ed866bc0,,,,1,155
66,68,b58ab03f-3520-4916-81b8-2c42e3d0d31d,,,,1,39
67,69,0aadf5ce-07eb-4934-9e07-317a46bc0b21,,,,1,16
68,70,93a92b6f-5ed2-4b2c-9f9c-a6307e1fb256,,,,3,4;12;136
69,71,cd2e4351-de59-4511-ab43-36c37b388a8d,,,,1,96
70,72,509e6545-5fff-4f73-ae0f-524dfa8b3c2c,,,,2,11;22
71,73,24f4b88e-2294-4017-a669-9e27c07d44e7,,,,1,167
72,74,86d91c31-1bfe-4f99-a803-7466c8d801d1,,,,1,66
73,75,d68218d2-5071-458d-8e4d-87f5707b7fbc,,,,3,34;38;120
74,76,a0a00d56-0f2d-4f3d-ae12-ee5bc4c7ba19,,,,1,143
75,77,0688f66e-f115-49c6-85ff-712bf4f4a758,,,,3,13;30;125
76,78,1eb2f153-055f-4004-ad55-154359af8025,,,,2,1;35
77,79,01a144a5-24d2-4a5a-af01-1f318d674bed,,,,1,39
78,80,824c2b85-b40b-4bbd-82bf-70468f9c042b,,,,3,16;35;37
79,81,5fe9843b-0b74-4505-b864-86eb53c25cc6,,,,1,79
80,82,e27e9ec7-aaf3-4e5c-a387-1699fe66ea4f,,,,3,28;116;127
81,83,c66fe71d-e9c3-4983-ad77-26c0a8b1c0b9,,,,1,109
82,84,e86bb89c-baf4-4463-8941-e296d1d4d62f,,,,1,140
83,85,b5867202-c87b-4ffa-8617-e8b2e9eba1a2,,,,1,164
84,86,2faa1516-ed55-4a96-a4be-09c402cf2c76,,,,1,74
85,87,13da1294-2b42-4ef6-8dd6-ff651ef4571f,,,,3,10;14;20
86,88,7ad240de-34ab-4694-a6be-05a47e14793f,,,,2,40;41
87,89,e614f1a5-7c7b-468f-9840-d7373f740255,,,,1,95
88,90,bcf9aba0-a4b6-4210-8823-025f43f2631f,,,,1,20
89,91,2e22aafd-1fbb-4e73-ab6f-d8f628b66ba1,,,,1,29
90,92,84bd1e04-370a-4e4a-9255-776f8d8e38ad,,,,1,56
