record_no,source_row,video_id,task,question_id,question,nif,timestamp
104,107,fkJv7LRa6Pc,,179-2,,2,22;30
105,108,fkJv7LRa6Pc,,179-3,,1,50
106,109,0Y9-MQ44MdU,,445-1,,2,34;125
107,110,0Y9-MQ44MdU,,445-2,,1,1422;2278;2334;2439
108,111,0Y9-MQ44MdU,,445-3,,3,193;437;573
109,112,Mxkg3qLIPC8,,451-1,,1,10
110,113,Mxkg3qLIPC8,,451-2,,2,130;156
111,114,Mxkg3qLIPC8,,451-3,,2,286;290
112,115,H54zMD-9Q-8,,437-1,,1,588
113,116,H54zMD-9Q-8,,437-2,,1,33
114,117,H54zMD-9Q-8,,437-3,,1,35
115,118,ZQIZx5Oqw88,,464-1,,3,36;62;92
116,119,ZQIZx5Oqw88,,464-2,,2,257;294
117,120,ZQIZx5Oqw88,,464-3,,2,373;375
118,121,2Gg4OQo7-zA,,456-1,,3,193;585;798
119,122,2Gg4OQo7-zA,,456-2,,2,492;498
120,123,2Gg4OQo7-zA,,456-3,,1,94
121,124,0k2ey_okQ4E,,754-1,,3,79;1416;2197
122,125,0k2ey_okQ4E,,754-2,,4,170;237;273;338
123,126,0k2ey_okQ4E,,754-3,,4,562;1119;1522;2617
124,127,S_5vlPXLCRc,,731-1,,2,243;435
125,128,S_5vlPXLCRc,,731-2,,1,231
126,129,S_5vlPXLCRc,,731-3,,1,1186
127,130,GV5CuB4zPTY,,774-1,,1,22
128,131,GV5CuB4zPTY,,774-2,,3,1832;1865;2276
129,132,GV5CuB4zPTY,,774-3,,1,566
130,133,jdQ-20JEmgc,,757-1,,2,739;1491
131,134,jdQ-20JEmgc,,757-2,,2,319;354
132,135,jdQ-20JEmgc,,757-3,,7,435;1557;2041;2166;2316;2563;2705
133,136,4H8hcvNeWtg,,206-1,,1,49
134,137,4H8hcvNeWtg,,206-2,,2,51;58
135,138,4H8hcvNeWtg,,206-3,,1,50
136,139,fRf2aYYPrkc,,194-1,,2,1;23
137,140,fRf2aYYPrkc,,194-2,,2,5;22
138,141,fRf2aYYPrkc,,194-3,,3,1;5;66
139,142,k74LDvXSnHM,,201-1,,1,1
140,143,k74LDvXSnHM,,201-2,,2,25;29
141,144,k74LDvXSnHM,,201-3,,1,29
142,145,1q-5IIyZL20,,197-1,,1,6
143,146,1q-5IIyZL20,,197-2,,1,72
144,147,1q-5IIyZL20,,197-3,,1,93
145,148,dH8l--46j6s,,214-1,,1,64
146,149,dH8l--46j6s,,214-2,,1,43
147,150,dH8l--46j6s,,214-3,,1,11
148,151,QopYbLq-zIQ,,508-1,,3,526;597;685
149,152,QopYbLq-zIQ,,508-2,,1,747
150,153,QopYbLq-zIQ,,508-3,,1,0
151,155,kq9Q9-U0vrc,,505-1,,2,148;151
152,156,kq9Q9-U0vrc,,505-2,,2,82;243
153,157,kq9Q9-U0vrc,,505-3,,1,3
154,158,azZZZbSwLQght,,490-1,,2,195;265
155,159,azZZZbSwLQght,,490-2,,1,58
156,160,azZZZbSwLQght,,490-3,,1,366
157,161,a7jZszvFpTY,,515-1,,3,131;163;182
158,162,a7jZszvFpTY,,515-2,,2,186;192
159,163,a7jZszvFpTY,,515-3,,1,3
160,164,323v_FtWqvo,,483-1,,2,86;220
161,165,323v_FtWqvo,,483-2,,3,79;81;129
162,166,323v_FtWqvo,,483-3,,2,142;220
163,167,eQGSbBANfVg,,803-1,,2,505;521
164,168,eQGSbBANfVg,,803-2,,2,1603;1620
165,169,eQGSbBANfVg,,803-3,,2,1934;1936
166,170,yh-EHgkFci4,,812-1,,3,143;191;311
167,171,yh-EHgkFci4,,812-2,,2,705;906
168,172,yh-EHgkFci4,,812-3,,1,1161
169,173,D97vMwfWxvI,,795-1,,8,451;734;1057;1117;1677;1811;1944;2250
170,174,D97vMwfWxvI,,795-2,,6,520;542;1160;1692;2385;2431
171,175,D97vMwfWxvI,,795-3,,1,69
172,176,XDq08lk5GnQ,,794-1,,4,821;1296;1472;2496
173,177,XDq08lk5GnQ,,794-2,,2,1546;1621
174,178,XDq08lk5GnQ,,794-3,,2,2443;2456
175,179,P69idA8JO98,,786-1,,3,152;621;816
176,180,P69idA8JO98,,786-2,,2,1762;1774
177,181,P69idA8JO98,,786-3,,2,1884;1937
178,182,Kn10Jf1x24Q,,273-1,,1,1
179,183,Kn10Jf1x24Q,,273-2,,3,22;23;25
180,184,Kn10Jf1x24Q,,273-3,,1,10
181,185,RP1AL2DU6vQ,,252-1,,3,45;51;92
182,186,RP1AL2DU6vQ,,252-2,,1,24
183,187,RP1AL2DU6vQ,,252-3,,1,55
184,188,FlcVBKTSjRs,,222-1,,1,34
185,189,FlcVBKTSjRs,,222-2,,1,34
186,190,FlcVBKTSjRs,,222-3,,4,1;14;36;38
187,191,VnvG08masio,,239-1,,1,4
188,192,VnvG08masio,,239-2,,1,94
189,193,VnvG08masio,,239-3,,1,22
190,194,s-lM2uwiwyQ,,257-1,,2,10;11
191,195,s-lM2uwiwyQ,,257-2,,3,52;53;58
192,196,s-lM2uwiwyQ,,257-3,,1,73
193,197,cFqLEwAvaHI,,575-1,,1,35
194,198,cFqLEwAvaHI,,575-2,,1,123
195,199,cFqLEwAvaHI,,575-3,,1,159
196,200,ZBKUqc_ICpg,,534-1,,3,33;288;309
197,201,ZBKUqc_ICpg,,534-2,,1,52
198,202,ZBKUqc_ICpg,,534-3,,2,18;19
199,203,-c8eATXUui8,,536-1,,2,58;78
200,204,-c8eATXUui8,,536-2,,3,381;385;416
201,206,-c8eATXUui8,,536-3,,3,512;521;582
202,207,tCRpDpDgBcE,,553-1,,3,72;77;79
203,208,tCRpDpDgBcE,,553-2,,1,315
204,209,tCRpDpDgBcE,,553-3,,1,509
205,210,A30IuIjQYYg,,561-1,,2,9;114
206,211,A30IuIjQYYg,,561-2,,3,24;35;66
207,212,A30IuIjQYYg,,561-3,,2,30;88
208,213,k3zNTrWrbOU,,827-1,,2,1967;2033
209,214,k3zNTrWrbOU,,827-2,,5,26;291;758;1150;1464
210,215,k3zNTrWrbOU,,827-3,,3,423;1308;1838
211,216,wxff_4tDauo,,825-1,,1,8
212,217,wxff_4tDauo,,825-2,,4,7;630;1261;1977
213,218,wxff_4tDauo,,825-3,,4,28;267;355;825
214,219,wTlERUE8LVw,,836-1,,2,28;62
215,220,wTlERUE8LVw,,836-2,,3,791;796;800
216,221,wTlERUE8LVw,,836-3,,3,686;772;2297
217,222,aqFfjJrLkBA,,834-1,,7,20;21;24;28;34;36;40
218,223,aqFfjJrLkBA,,834-2,,1,11
219,224,aqFfjJrLkBA,,834-3,,3,386;941;1419
220,225,elprD1hnDyU,,886-1,,3,861;902;937
221,226,elprD1hnDyU,,886-2,,6,514;640;694;1024;1085;1700
222,227,elprD1hnDyU,,886-3,,2,2212;2610
223,228,AIs3LoU4JUo,,297-1,,2,22;117
224,229,AIs3LoU4JUo,,297-2,,2,2;93
225,230,AIs3LoU4JUo,,297-3,,2,74;117
226,231,nbOXpuv7K4Q,,294-1,,3,25;28;29
227,232,nbOXpuv7K4Q,,294-2,,4,17;20;28;42
228,233,nbOXpuv7K4Q,,294-3,,1,36
229,234,PYZSjin_Pe8,,293-1,,2,59;60
230,235,PYZSjin_Pe8,,293-2,,1,5
231,236,PYZSjin_Pe8,,293-3,,2,79;103
232,237,bHt0Riqz0qo,,296-1,,1,5
233,238,bHt0Riqz0qo,,296-2,,3,35;54;64
234,239,bHt0Riqz0qo,,296-3,,2,9;84
235,240,nVtTVt9csBc,,291-1,,5,14;17;19;38;90
236,241,nVtTVt9csBc,,291-2,,3,13;20;21
237,242,nVtTVt9csBc,,291-3,,3,0;3;80
238,243,0JjgoicpYkU,,599-1,,1,20
239,244,0JjgoicpYkU,,599-2,,4,159;217;436;504
240,245,0JjgoicpYkU,,599-3,,1,527
241,246,cVIfe0Gxa64,,595-1,,1,0
242,247,cVIfe0Gxa64,,595-2,,1,249
243,248,cVIfe0Gxa64,,595-3,,1,245
244,249,InHaW59CmDw,,592-1,,4,16;168;271;509
245,250,InHaW59CmDw,,592-2,,2,391;659
246,251,InHaW59CmDw,,592-3,,2,512;538
247,252,GrO5sxp3n0E,,594-1,,1,28
248,253,GrO5sxp3n0E,,594-2,,2,399;409
249,254,GrO5sxp3n0E,,594-3,,1,534
250,255,fFYNmVb3NCQ,,598-1,,3,193;236;422
251,257,fFYNmVb3NCQ,,598-2,,4,298;432;494;518
252,258,fFYNmVb3NCQ,,598-3,,2,61;233
253,259,1O1TfTrEnss,,895-1,,3,48;188;306
254,260,1O1TfTrEnss,,895-2,,1,160
255,261,1O1TfTrEnss,,895-3,,1,101
256,262,xIWaK92gRlo,,896-1,,3,317;422;445
257,263,xIWaK92gRlo,,896-2,,4,164;300;793;1254
258,264,xIWaK92gRlo,,896-3,,4,158;330;656;1335
259,265,K9MQATj3894,,898-1,,2,512;1340
260,266,K9MQATj3894,,898-2,,2,19;28
261,267,K9MQATj3894,,898-3,,2,1051;1155
262,268,uuCVnqV4cNc,,891-1,,6,98;1187;1240;1872;1966;2963
263,269,uuCVnqV4cNc,,891-2,,4,1422;2278;2334;2439
264,270,uuCVnqV4cNc,,891-3,,6,11;104;405;1560;1873;2601
265,271,5KlS-p5eYH8,,900-1,,2,1088;1509
266,272,5KlS-p5eYH8,,900-2,,8,1;47;360;913;1043;1500;1973;2020
267,273,5KlS-p5eYH8,,900-3,,5,338;342;1406;1507;2178
268,274,1wzgMHrkrys,,779-1,,1,2015
269,275,1wzgMHrkrys,,779-2,,2,286;2342
270,276,1wzgMHrkrys,,779-3,,1,540
